loan_amount,term,interest_rate,annual_income,debt_to_income,credit_score,employment_length,purpose,delinq_2yrs,revol_util,default
16795,36,29.53,20155,15.64,675,6,car,0,65.4,0
1860,36,20.8,143950,13.06,746,18,other,4,61.86,0
39158,36,11.5,87494,5.05,405,1,car,0,30.98,0
45732,36,20.85,96229,30.53,700,9,credit_card,0,8.58,0
12284,36,18.5,124648,38.84,395,17,medical,1,9.09,0
7265,36,24.5,58547,12.85,687,16,credit_card,1,92.32,0
17850,60,7.67,48795,28.21,751,4,other,0,68.93,0
38194,36,24.03,41447,30.97,715,11,car,2,12.71,0
22962,60,18.53,187670,34.69,803,5,car,1,35.67,0
48191,60,29.07,192886,19.79,753,8,medical,4,59.25,0
45131,36,13.55,107960,15.6,590,19,other,3,83.56,0
17023,60,20.82,83278,16.39,833,0,small_business,1,4.37,0
42090,60,28.3,75077,29.94,492,14,small_business,0,23.66,1
2685,60,7.56,132782,33.59,449,5,medical,2,88.97,0
1769,60,28.43,122932,11.36,814,18,other,3,0.92,0
3433,36,22.2,160600,17.98,692,17,medical,1,20.14,0
6311,60,6.7,129869,36.57,615,5,other,2,95.9,0
38819,36,12.52,159251,33.23,375,12,credit_card,2,61.34,0
40188,60,22.7,68781,39.47,569,0,medical,2,26.17,1
18568,60,6.68,175024,31.4,524,12,other,0,6.7,0
20769,36,19.55,73798,18.76,829,6,small_business,4,2.82,0
29693,60,13.65,118696,25.67,412,14,other,2,24.47,0
7396,60,20.52,70939,28.14,550,11,other,3,88.15,1
28480,60,6.14,49516,7.75,532,0,medical,1,41.59,0
42434,36,26.79,161521,24.06,382,14,credit_card,3,72.03,0
26658,60,29.34,70290,29.83,424,3,credit_card,0,91.83,1
19942,36,29.22,146688,10.86,474,12,credit_card,0,40.8,0
19431,60,23.74,106661,32.32,368,4,credit_card,3,19.13,1
3747,36,8.25,92954,25.43,346,1,home,4,51.71,0
1189,36,23.96,42746,38.33,555,0,medical,0,90.81,1
20118,60,5.61,87990,6.48,329,15,car,0,80.44,0
36773,60,5.55,78810,14.29,580,5,medical,3,6.58,0
2899,36,13.09,138362,26.05,536,15,home,0,69.26,0
2267,36,17.22,166295,15.38,547,13,credit_card,4,57.19,0
32551,60,24.26,153669,30.0,667,2,home,4,90.75,0
12394,36,22.08,22659,31.57,794,14,small_business,4,12.25,0
4556,60,16.15,106516,8.59,324,2,small_business,1,53.4,0
4890,60,11.84,94567,22.98,789,1,medical,4,87.95,0
42606,60,29.93,35037,22.81,793,0,medical,4,41.0,0
31740,60,15.65,146498,17.92,613,8,car,1,48.2,0
15502,36,16.28,197810,37.65,674,8,car,2,7.05,0
22777,60,9.09,32109,33.96,324,6,small_business,0,27.81,0
11627,36,24.87,42010,29.4,633,2,credit_card,4,32.45,0
9792,60,22.34,28787,30.0,654,17,home,0,94.51,0
44323,36,10.52,159544,21.16,415,10,car,3,28.27,0
44021,60,7.06,174455,37.23,347,6,other,0,46.09,0
9433,36,22.01,81709,29.31,398,8,car,1,67.13,1
44001,36,21.36,54518,30.51,758,0,credit_card,0,16.22,0
12016,60,11.83,73909,35.16,822,13,credit_card,0,48.64,0
24897,60,28.77,38351,14.59,704,19,medical,0,73.85,0
3612,60,8.78,35282,33.25,513,5,home,2,86.69,0
24483,60,15.81,172850,11.83,802,6,credit_card,2,62.63,0
49555,36,28.59,175336,17.09,747,9,car,3,66.91,0
18159,60,15.49,25075,16.75,557,6,car,1,12.63,0
45974,36,20.96,199526,39.25,420,1,small_business,0,94.58,1
41994,36,14.94,48365,34.98,353,3,credit_card,0,13.26,0
15541,60,11.86,199272,29.54,630,16,other,0,77.47,0
36920,36,29.6,31002,30.45,540,0,medical,0,26.48,1
27531,36,15.23,33947,24.67,829,9,home,2,93.36,0
2585,36,27.35,114840,38.15,782,18,other,3,72.0,0
4943,36,10.75,136219,22.37,486,14,medical,4,75.38,0
24939,60,10.33,98610,18.32,561,9,car,1,21.91,0
20457,60,5.78,72142,10.71,663,18,other,0,44.3,0
2021,60,21.29,76307,32.52,790,11,medical,3,61.78,0
12653,60,14.21,155565,30.71,730,15,car,4,77.0,0
44573,36,26.61,70085,18.45,538,8,car,3,10.4,0
